Name;Author;Date;Rating Value;Rating Count;Preparation Time;Cooking Time;Category;Cuisine;Ingredients;Ingredients_Raw;Instructions;Cooking Methods;Implements;Number of steps;Servings;Nutrition;URL
Pineapple Glaze for Ham;Jackie;01/04/2025;4.5;104.0;10.0;5.0;['Dinner'];['American'];[{'ingredient': 'pineapple', 'quantity': '1', 'unit': '', 'misc': 'drained with juice reserved 1525 ounce sliced'}, {'ingredient': 'maraschino cherries', 'quantity': '1', 'unit': 'jar', 'misc': 'drained 4 ounce'}, {'ingredient': 'brown sugar', 'quantity': '1', 'unit': 'cup', 'misc': ''}];['1 (15.25 ounce) can sliced pineapple, drained with juice reserved', '1 (4 ounce) jar maraschino cherries, drained', '1 cup brown sugar'];['Gather the ingredients.', 'Before baking ham, place pineapple slices on ham with toothpicks and place cherries in center of pineapple.', 'Combine brown sugar and reserved pineapple juice in a medium microwave-safe bowl. Mix and microwave for about 5 minutes, until mixture is thick.', 'Pour some of this glaze over the ham about every 15 minutes in the last hour of baking, until all is used.'];['microwave'];['microwave'];4.0;['14', '3 cups'];{'Calories': '93 kcal', 'Carbohydrates': '24 g', 'Cholesterol': '', 'Fiber': '0 g', 'Protein': '', 'Saturated Fat': '', 'Sodium': '7 mg', 'Sugar': '21 g', 'Fat': '', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/17116/pineapple-glaze-for-ham/
Awesome Egg Rolls;ROUVER;01/04/2025;4.5;299.0;35.0;15.0;['Dinner', 'Appetizer'];['World', 'Asian'];[{'ingredient': 'vegetable oil', 'quantity': '1', 'unit': 'tsp', 'misc': ''}, {'ingredient': 'egg', 'quantity': '1', 'unit': '', 'misc': 'beaten'}, {'ingredient': 'cabbage', 'quantity': '6', 'unit': 'cups', 'misc': 'shredded'}, {'ingredient': 'bean sprouts', 'quantity': '0.5', 'unit': 'cup', 'misc': 'fresh'}, {'ingredient': 'carrot', 'quantity': '1', 'unit': '', 'misc': 'shredded'}, {'ingredient': 'stalk', 'quantity': '1', 'unit': 'celery', 'misc': 'diced'}, {'ingredient': 'onion', 'quantity': '2', 'unit': 'tablespoons', 'misc': 'chopped'}, {'ingredient': 'shrimp', 'quantity': '1', 'unit': '', 'misc': 'drained 4 ounce'}, {'ingredient': 'soy sauce', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'garlic powder', 'quantity': '0.125', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'pepper to taste', 'quantity': '', 'unit': 'black', 'misc': ''}, {'ingredient': 'cornstarch', 'quantity': '1', 'unit': 't', 'misc': ''}, {'ingredient': 'oil for frying', 'quantity': '', 'unit': 'vegetable', 'misc': ''}, {'ingredient': 'water', 'quantity': '2', 'unit': 't', 'misc': 'cold'}, {'ingredient': 'roll wrappers', 'quantity': '20', 'unit': 'egg', 'misc': ''}];['1 tsp vegetable oil', '1 egg, beaten', '6 cups cabbage, shredded', '0.5 cup fresh bean sprouts', '1 carrot, shredded', '1 celery stalk, diced', '2 tablespoons chopped onion', '1 (4 ounce) can shrimp, drained', '2 tablespoons soy sauce', '0.125 teaspoon garlic powder', 'black pepper to taste', '1 T cornstarch', 'vegetable oil for frying', '2 T cold water', '20 egg roll wrappers'];['Gather all ingredients.', 'Mix cabbage, bean sprouts, carrot, celery, and onion together in a large bowl.', 'Stir in shrimp, soy sauce, garlic powder, and pepper.', 'Heat 1 teaspoon oil in a nonstick skillet over medium heat. Add egg and cook, without stirring, until the bottom has set. Flip and cook until set on the other side, 1 to 2 minutes.', 'Transfer to a cutting board and finely chop.', 'Stir in chopped egg, then sprinkle 1 tablespoon cornstarch over top. Mix to combine and let sit for 10 minutes.', 'Mix water and remaining 1 tablespoon cornstarch together in a small bowl.', 'Place an egg roll wrapper onto a work surface with one corner pointing away from you like a diamond. Spoon 2 to 3 tablespoons shrimp mixture into the center. Moisten the top and side corners with the wet cornstarch mixture.', 'Fold the dry bottom corner up and over the filling, making a tight tube.', 'Fold the side corners in, pressing to stick against the folded roll, then roll toward the top corner to complete. Repeat to make remaining egg rolls.', 'Heat 3 to 4 inches vegetable oil in a deep fryer to 350 degrees F (175 degrees C). Working in batches, carefully fry egg rolls in the preheated fryer until golden brown, 2 to 4 minutes. Drain on paper towels.'];['fry'];['skillet', 'cutting board'];11.0;['10', '20 egg rolls'];{'Calories': '1268 kcal', 'Carbohydrates': '57 g', 'Cholesterol': '48 mg', 'Fiber': '7 g', 'Protein': '17 g', 'Saturated Fat': '17 g', 'Sodium': '1050 mg', 'Sugar': '3 g', 'Fat': '110 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/84099/awesome-egg-rolls/
Spanish Tortilla;Leslie Rosas;01/04/2025;4.3;15.0;10.0;10.0;['Breakfast'];['Spanish'];[{'ingredient': 'olive oil', 'quantity': '0.25', 'unit': 'cup', 'misc': ''}, {'ingredient': 'potatoes', 'quantity': '2', 'unit': '', 'misc': 'peeled'}, {'ingredient': 'bacon', 'quantity': '4', 'unit': 'slices', 'misc': ''}, {'ingredient': 'ham', 'quantity': '2', 'unit': 'slices', 'misc': 'diced cooked'}, {'ingredient': 'onion', 'quantity': '0.5', 'unit': '', 'misc': 'thinly sliced'}, {'ingredient': 'bell pepper', 'quantity': '0.5', 'unit': 'red', 'misc': 'sliced'}, {'ingredient': 'eggs', 'quantity': '4', 'unit': '', 'misc': ''}, {'ingredient': 'spanish seasoning', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': ''}];['0.25 cup olive oil', '2 potatoes, peeled', '4 slices bacon', '2 slices cooked ham, diced', '0.5 onion, thinly sliced', '0.5 red bell pepper, sliced', '4 eggs', '0.25 teaspoon Spanish seasoning'];['Slice edges off of potatoes so that potatoes are roughly square  thinly slice. Heat olive oil in medium skillet over medium heat. Add potatoes and lightly fry. Remove potatoes with a slotted spoon and set aside.', 'Place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown. Remove bacon, crumble and set aside. Reserve 1 tablespoon bacon grease and cook ham, onion and red pepper. Remove from heat.', 'Beat eggs and paprika together in a bowl  pour into skillet with vegetables. Add bacon and potatoes. Cook over medium heat, without stirring until bottom begins to brown. Turn omelet over and allow both sides to brown. Serve warm.'];['fry'];['skillet'];3.0;4;{'Calories': '447 kcal', 'Carbohydrates': '22 g', 'Cholesterol': '213 mg', 'Fiber': '2 g', 'Protein': '14 g', 'Saturated Fat': '9 g', 'Sodium': '558 mg', 'Sugar': '3 g', 'Fat': '34 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/24342/spanish-tortilla/
Spicy Tarragon Yogurt Chicken;John Mitzewich;01/04/2025;4.5;42.0;10.0;15.0;['Dinner'];['American'];[{'ingredient': 'tarragon sprigs', 'quantity': '1', 'unit': 'bunch', 'misc': 'leaves only fresh'}, {'ingredient': 'greek-style yogurt', 'quantity': '0.5', 'unit': 'cup', 'misc': 'plain'}, {'ingredient': 'harissa sauce', 'quantity': '0.25', 'unit': 'cup', 'misc': 'see footnote for recipe link'}, {'ingredient': 'vinegar or citrus juice', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'cloves', 'quantity': '2', 'unit': 'garlic', 'misc': 'peeled'}, {'ingredient': 'cumin', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'ground'}, {'ingredient': 'kosher salt', 'quantity': '2', 'unit': 'teaspoons', 'misc': ''}, {'ingredient': 'chicken breast halves', 'quantity': '4', 'unit': 'large', 'misc': ''}];['1 bunch fresh tarragon sprigs, leaves only', '0.5 cup plain Greek-style yogurt', '0.25 cup harissa sauce (see footnote for recipe link)', '2 tablespoons vinegar or citrus juice', '2 garlic cloves, peeled', '1 tablespoon ground cumin', '2 teaspoons kosher salt', '4 large chicken breast halves'];['Set 4 tarragon sprigs aside  strip leaves from remaining sprigs. Combine tarragon leaves, Greek yogurt, harissa sauce, vinegar, garlic, cumin, and salt in a blender  blend until smooth, scraping down sides as needed. Pour marinade over chicken breasts in a shallow dish, thoroughly coating both sides. Cover dish  refrigerate for 2 to 3 hours.', 'Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'Remove chicken breasts from marinade, letting excess drip off  discard remaining marinade.', 'Cook chicken on the preheated grill until dark grill marks appear, about 7 minutes per side. An instant-read thermometer inserted into centers of breasts should read at least 165 F (74 C).', 'Garnish chicken breasts with harissa sauce and reserved tarragon sprigs.'];['grill'];['grill', 'thermometer', 'blender'];5.0;6;{'Calories': '316 kcal', 'Carbohydrates': '3 g', 'Cholesterol': '152 mg', 'Fiber': '0 g', 'Protein': '57 g', 'Saturated Fat': '2 g', 'Sodium': '1281 mg', 'Sugar': '2 g', 'Fat': '7 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/223045/spicy-tarragon-yogurt-chicken/
Apple Bread;karla;01/04/2025;4.7;435.0;15.0;45.0;['Brunch'];['American'];[{'ingredient': 'spray', 'quantity': '', 'unit': 'cooking', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '3', 'unit': 'cups', 'misc': ''}, {'ingredient': 'baking soda', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'salt', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'walnuts', 'quantity': '1', 'unit': 'cup', 'misc': 'chopped'}, {'ingredient': 'apples', 'quantity': '3', 'unit': 'cups', 'misc': 'cored and chopped peeled'}, {'ingredient': 'vegetable oil', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '2', 'unit': 'cups', 'misc': ''}, {'ingredient': 'eggs', 'quantity': '3', 'unit': '', 'misc': 'beaten'}, {'ingredient': 'cinnamon', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'ground'}];['cooking spray', '3 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt', '1 cup chopped walnuts', '3 cups apples - peeled, cored, and chopped', '1 cup vegetable oil', '2 cups white sugar', '3 eggs, beaten', '2 teaspoons ground cinnamon'];['Preheat the oven to 300 degrees F (150 degrees C). Grease two 8x4-inch loaf pans or one 10-inch Bundt pan with cooking spray.', 'Mix flour, baking soda, salt, walnuts, and apples in a large bowl. Whisk oil, sugar, eggs, and cinnamon together in a small bowl  add to flour mixture and mix until just moistened. Spoon batter into prepared pan(s).', 'Bake in preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes to 1 hour. Cool in the pans briefly before removing to cool completely on a wire rack.'];['bake'];['pan', 'oven', 'whisk'];3.0;['16', '2 (8x4-inch) loaves'];{'Calories': '377 kcal', 'Carbohydrates': '47 g', 'Cholesterol': '35 mg', 'Fiber': '2 g', 'Protein': '5 g', 'Saturated Fat': '3 g', 'Sodium': '238 mg', 'Sugar': '28 g', 'Fat': '20 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/223602/apple-bread/
Grandma's Lemon Meringue Pie;Emilie S;01/04/2025;4.8;3200.0;30.0;10.0;['Dessert'];['American'];[{'ingredient': 'white sugar', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'cornstarch', 'quantity': '3', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'salt', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'water', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'lemons', 'quantity': '2', 'unit': '', 'misc': 'juiced and zested'}, {'ingredient': 'butter', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'yolks', 'quantity': '4', 'unit': 'egg', 'misc': 'beaten'}, {'ingredient': 'crust', 'quantity': '1', 'unit': 'pie', 'misc': 'baked 9 inch'}, {'ingredient': 'whites', 'quantity': '4', 'unit': 'egg', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '6', 'unit': 'tablespoons', 'misc': ''}];['1 cup white sugar', '2 tablespoons all-purpose flour', '3 tablespoons cornstarch', '0.25 teaspoon salt', '1.5 cups water', '2 lemons, juiced and zested', '2 tablespoons butter', '4 egg yolks, beaten', '1 (9 inch) pie crust, baked', '4 egg whites', '6 tablespoons white sugar'];['Gather all ingredients and preheat the oven to 325 degrees F (165 degrees C).', 'To make the lemon filling: Whisk 1 cup sugar, flour, cornstarch, and salt together in a medium saucepan  stir in water, lemon juice, and lemon zest. Cook over medium-high heat, stirring frequently, until mixture comes to a boil. Stir in butter.', 'Place egg yolks in a small bowl and gradually whisk in 1/2 cup of hot sugar mixture.', 'Whisk egg yolk mixture back into remaining sugar mixture. Bring to a boil and continue to cook while stirring constantly until thick. Remove from heat  pour filling into baked pastry crust.', 'To make the meringue topping: Beat egg whites in a glass, metal, or ceramic bowl with an electric mixer until foamy. Gradually add sugar, continuing to beat until stiff peaks form.', 'Working quickly, spread meringue over pie filling, sealing the edges at the crust. Use the back of the spoon to create peaks on the top of the meringue if you like.', 'Bake pie in the preheated oven until meringue is golden brown, about 20 to 25 minutes.', 'Serve and enjoy!'];['bake', 'boil'];['whisk', 'oven', 'saucepan', 'mixer'];8.0;['8', '1 (9-inch) pie'];{'Calories': '472 kcal', 'Carbohydrates': '78 g', 'Cholesterol': '120 mg', 'Fiber': '5 g', 'Protein': '9 g', 'Saturated Fat': '6 g', 'Sodium': '326 mg', 'Sugar': '45 g', 'Fat': '16 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/15093/grandmas-lemon-meringue-pie/
Punjabi Sukha Urad Dal;SUSMITA;01/04/2025;4.7;17.0;10.0;45.0;['Dinner', 'Lunch', 'Entree'];['Indian'];[{'ingredient': 'skin-on', 'quantity': '1', 'unit': 'cup', 'misc': 'split black lentils urad dal'}, {'ingredient': 'water', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'cooking oil', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'onion', 'quantity': '1', 'unit': '', 'misc': 'chopped'}, {'ingredient': 'chile peppers', 'quantity': '4', 'unit': 'green', 'misc': 'cut into large chunks'}, {'ingredient': 'garlic', 'quantity': '4', 'unit': 'cloves', 'misc': 'minced'}, {'ingredient': 'ginger root', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'minced fresh'}, {'ingredient': 'to taste', 'quantity': '', 'unit': 'salt', 'misc': ''}, {'ingredient': 'tomato', 'quantity': '1', 'unit': 'large', 'misc': 'chopped'}, {'ingredient': 'garam masala', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'turmeric', 'quantity': '0.5', 'unit': 'teaspoon', 'misc': 'ground'}, {'ingredient': 'cilantro', 'quantity': '0.25', 'unit': 'cup', 'misc': 'chopped fresh'}];['1 cup skin-on, split black lentils (urad dal)', '1 cup water', '2 tablespoons cooking oil', '1 onion, chopped', '4 green chile peppers, cut into large chunks', '4 cloves garlic, minced', '1 tablespoon minced fresh ginger root', 'salt to taste', '1 large tomato, chopped', '1 teaspoon garam masala', '0.5 teaspoon ground turmeric', '0.25 cup chopped fresh cilantro'];['Place lentils in a large bowl  cover with several inches of cool water. Soak for 4 hours or overnight. Drain and rinse.', 'Heat oil in a heavy-bottomed saucepan over medium heat. Add onion, chile peppers, garlic, and ginger  cook until onion is golden brown, about 5 minutes.', 'Stir lentils and 1 cup water into onion mixture  season with salt. Reduce heat to low  simmer until lentils are mostly cooked, about 30 minutes.', 'Add tomato, garam masala, and turmeric  cook until lentils are tender, about 10 minutes more.', 'Garnish servings with cilantro.'];['simmer', 'reduce'];['saucepan'];5.0;4;{'Calories': '277 kcal', 'Carbohydrates': '40 g', 'Cholesterol': '', 'Fiber': '2 g', 'Protein': '14 g', 'Saturated Fat': '1 g', 'Sodium': '31 mg', 'Sugar': '5 g', 'Fat': '8 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/210520/punjabi-sukha-urad-dal/
Green Chile Chicken and Rice Soup;sara;01/04/2025;4.3;11.0;15.0;30.0;['Entree', 'Dinner', 'Lunch', 'Brunch'];['American', 'Tex-Mex'];[{'ingredient': 'water', 'quantity': '3', 'unit': 'cups', 'misc': ''}, {'ingredient': 'oregano', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'dried'}, {'ingredient': 'kosher salt', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'garlic powder', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'skinless', 'quantity': '2', 'unit': '', 'misc': 'boneless chicken breast halves'}, {'ingredient': 'medium-grain white rice', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'olive oil', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'white onion', 'quantity': '1', 'unit': 'small', 'misc': 'diced'}, {'ingredient': 'low-sodium chicken broth', 'quantity': '3', 'unit': 'cups', 'misc': ''}, {'ingredient': 'green chile peppers', 'quantity': '1', 'unit': 'cup', 'misc': 'chopped'}, {'ingredient': 'cumin', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'ground'}, {'ingredient': 'monterey jack cheese', 'quantity': '4', 'unit': 'ounces', 'misc': 'shredded'}];['3 cups water', '1 tablespoon dried oregano', '1 teaspoon kosher salt', '0.25 teaspoon garlic powder', '2 skinless, boneless chicken breast halves', '1 cup medium-grain white rice', '1 teaspoon olive oil', '1 small white onion, diced', '3 cups low-sodium chicken broth', '1 cup chopped green chile peppers', '1 tablespoon ground cumin', '4 ounces shredded Monterey Jack cheese'];['Bring water to a boil in a saucepan  add 1 tablespoon dried oregano, salt, and 1/4 teaspoon garlic powder. Reduce heat, add chicken, and simmer until chicken is no longer pink in centers, 10 to 15 minutes. Transfer chicken to a plate  set aside to cool.', 'Strain cooking liquid  transfer 2 cups to a saucepan and bring to a boil. Add rice, reduce heat to low, cover, and cook until rice is tender and water is absorbed, about 17 minutes.', 'Meanwhile, heat oil in a stockpot over medium heat. Add onion  cook until softened, about 10 minutes. Add chicken broth, chile peppers, cumin, remaining 1 tablespoon dried oregano, and remaining 1/4 teaspoon garlic powder  cover stockpot and simmer.', 'Shred chicken using two forks  add to simmering broth. Cook until chicken is warmed through, 5 to 10 minutes.', 'Divide rice between 4 serving bowls  sprinkle each with 1 ounce Monterey Jack cheese. Divide soup between bowls.'];['boil', 'simmer', 'reduce'];['stockpot', 'saucepan'];5.0;4;{'Calories': '400 kcal', 'Carbohydrates': '47 g', 'Cholesterol': '58 mg', 'Fiber': '3 g', 'Protein': '25 g', 'Saturated Fat': '6 g', 'Sodium': '753 mg', 'Sugar': '4 g', 'Fat': '12 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/231508/green-chile-chicken-and-rice-soup/
Cheesy Scalloped Potatoes;Kim;01/04/2025;4.8;28.0;15.0;70.0;['Dinner', 'Side Dish'];['American'];[{'ingredient': 'potatoes', 'quantity': '6', 'unit': 'medium', 'misc': 'peeled and thinly sliced'}, {'ingredient': 'salt', 'quantity': '2', 'unit': 'teaspoons', 'misc': ''}, {'ingredient': 'butter', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'milk', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'swiss cheese', 'quantity': '0.75', 'unit': 'cup', 'misc': 'shredded'}];['6 medium potatoes, peeled and thinly sliced', '2 teaspoons salt', '2 tablespoons butter', '2 tablespoons all-purpose flour', '1.5 cups milk', '0.75 cup shredded Swiss cheese'];['Preheat the oven to 375 degrees F (190 degrees C). Grease a casserole dish.', 'Arrange sliced potatoes in the casserole dish  season with salt.', 'Melt butter in a saucepan over medium heat  whisk in flour to form a thick paste. Pour in milk gradually, stirring constantly, until a thick white sauce forms, about 5 minutes. Stir in cheese and remove from heat. Pour sauce over potatoes.', 'Bake in the preheated oven until potatoes are tender and the tops are golden brown, about 1 hour.'];['bake'];['whisk', 'oven', 'saucepan', 'casserole dish'];4.0;6;{'Calories': '289 kcal', 'Carbohydrates': '43 g', 'Cholesterol': '28 mg', 'Fiber': '5 g', 'Protein': '10 g', 'Saturated Fat': '6 g', 'Sodium': '866 mg', 'Sugar': '5 g', 'Fat': '9 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/279404/cheesy-scalloped-potatoes/
Honey Brie Spread;Kim S;01/04/2025;4.5;80.0;5.0;30.0;['Appetizer'];['French'];[{'ingredient': 'crescent roll dough', 'quantity': '1', 'unit': '', 'misc': '10 ounce refrigerated'}, {'ingredient': 'brie cheese', 'quantity': '1', 'unit': 'round', 'misc': '14 ounce'}, {'ingredient': 'pecan halves', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'honey', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}];['1 (10 ounce) can refrigerated crescent roll dough', '1 (14 ounce) round Brie cheese', '1.5 cups pecan halves', '1.5 cups honey'];['Preheat the oven to 375 degrees F (190 degrees C).', 'Unroll crescent roll dough on a flat work surface  place Brie wheel in center of dough. Wrap dough around Brie wheel  press seams together to seal and enclose cheese. Transfer dough-covered cheese to a 9x9-inch baking dish  top with pecans and drizzle with honey.', 'Bake in the preheated oven until cheese is soft and crust is golden, about 30 minutes. Serve with apple slices or cornbread crackers.'];['bake'];['baking dish', 'oven'];3.0;8;{'Calories': '651 kcal', 'Carbohydrates': '69 g', 'Cholesterol': '50 mg', 'Fiber': '2 g', 'Protein': '15 g', 'Saturated Fat': '12 g', 'Sodium': '591 mg', 'Sugar': '56 g', 'Fat': '37 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/70533/honey-brie-spread/
